chunk_id,source_id,domain,hard_negative_category,hard_negative_for,expected_active_concepts,predicted_active_concepts,false_positive_concepts,false_negative_concepts,ambiguous,unsupported,consciousness_label,consciousness_weight,self_identity_label,self_identity_weight,reality_appearance_label,reality_appearance_weight
advaita_sankara_thibaut_1890_vedanta_sutras:chunk:2a65304f30a042e20b926837,advaita_sankara_thibaut_1890_vedanta_sutras,advaita,,,consciousness|reality_appearance|self_identity,reality_appearance|self_identity,,consciousness,True,False,partial,0.36555054,positive,0.74326641,positive,0.78940612
advaita_sankara_thibaut_1890_vedanta_sutras:chunk:366a9aac54ca4500d843a590,advaita_sankara_thibaut_1890_vedanta_sutras,advaita,,,consciousness|reality_appearance|self_identity,self_identity|consciousness,,reality_appearance,False,False,positive,0.43793492,positive,0.74456225,positive,0.73529741
advaita_sankara_thibaut_1890_vedanta_sutras:chunk:47db66f7bca08080465d2636,advaita_sankara_thibaut_1890_vedanta_sutras,advaita,,,consciousness|reality_appearance|self_identity,self_identity,,consciousness|reality_appearance,False,False,partial,0.37238596,positive,0.74826845,positive,0.72804619
advaita_sankara_thibaut_1890_vedanta_sutras:chunk:4ae7828ae7aef5ebebe2b458,advaita_sankara_thibaut_1890_vedanta_sutras,advaita,,,consciousness|reality_appearance|self_identity,self_identity|reality_appearance,,consciousness,True,False,partial,0.36985949,positive,0.76057519,positive,0.75625629
advaita_sankara_thibaut_1890_vedanta_sutras:chunk:4c687fd9ed064513b19bf06d,advaita_sankara_thibaut_1890_vedanta_sutras,advaita,,,reality_appearance|self_identity,self_identity,,reality_appearance,False,False,negative,0.37078304,positive,0.75239794,partial,0.72940567
advaita_sankara_thibaut_1890_vedanta_sutras:chunk:611b5d9bc0bbec6b06fda326,advaita_sankara_thibaut_1890_vedanta_sutras,advaita,,,consciousness|reality_appearance|self_identity,reality_appearance|self_identity,,consciousness,True,False,partial,0.36781868,positive,0.72802067,positive,0.79799674
advaita_sankara_thibaut_1890_vedanta_sutras:chunk:64a017395e9a4b05b2b5e6f5,advaita_sankara_thibaut_1890_vedanta_sutras,advaita,,,consciousness|reality_appearance|self_identity,reality_appearance|self_identity,,consciousness,True,False,partial,0.36606779,positive,0.76596523,positive,0.79607945
advaita_sankara_thibaut_1890_vedanta_sutras:chunk:65b47e23ccfbb4535e9459b1,advaita_sankara_thibaut_1890_vedanta_sutras,advaita,,,reality_appearance|self_identity,self_identity,,reality_appearance,False,False,negative,0.36411689,positive,0.76918929,positive,0.74975908
advaita_sankara_thibaut_1890_vedanta_sutras:chunk:6d48fc3b1e15ae247a781c0a,advaita_sankara_thibaut_1890_vedanta_sutras,advaita,,,consciousness|reality_appearance|self_identity,reality_appearance|self_identity,,consciousness,True,False,partial,0.38502529,positive,0.77332412,positive,0.79580593
advaita_sankara_thibaut_1890_vedanta_sutras:chunk:78c746d889b771ea2b409f17,advaita_sankara_thibaut_1890_vedanta_sutras,advaita,,,consciousness|reality_appearance|self_identity,reality_appearance|self_identity,,consciousness,True,False,partial,0.36889946,positive,0.73031963,positive,0.79244148
advaita_sankara_thibaut_1890_vedanta_sutras:chunk:7dfa5ba366a53671f491063e,advaita_sankara_thibaut_1890_vedanta_sutras,advaita,,,consciousness|reality_appearance|self_identity,reality_appearance|self_identity,,consciousness,True,False,partial,0.37116261,positive,0.72035359,positive,0.80492998
advaita_sankara_thibaut_1890_vedanta_sutras:chunk:8508bbbbcd628dbb51c2b749,advaita_sankara_thibaut_1890_vedanta_sutras,advaita,consciousness_vs_cognition,consciousness,reality_appearance|self_identity,reality_appearance,,self_identity,False,False,negative,0.36705439,positive,0.69984474,positive,0.76605650
advaita_sankara_thibaut_1890_vedanta_sutras:chunk:88e310ab6354d006b0c8e9e8,advaita_sankara_thibaut_1890_vedanta_sutras,advaita,,,consciousness|reality_appearance,reality_appearance|self_identity,self_identity,consciousness,False,False,partial,0.37028997,negative,0.70114131,positive,0.80667482
advaita_sankara_thibaut_1890_vedanta_sutras:chunk:8bdae350e920515c685b78f1,advaita_sankara_thibaut_1890_vedanta_sutras,advaita,,,reality_appearance,reality_appearance|self_identity,self_identity,,True,False,negative,0.36856053,negative,0.72153145,positive,0.79376139
advaita_sankara_thibaut_1890_vedanta_sutras:chunk:8d04d8aa82cc01d86676d322,advaita_sankara_thibaut_1890_vedanta_sutras,advaita,,,consciousness|self_identity,self_identity,,consciousness,False,False,partial,0.36574920,positive,0.74228959,negative,0.72540367
advaita_sankara_thibaut_1890_vedanta_sutras:chunk:8fb130f6a026a50747ae0149,advaita_sankara_thibaut_1890_vedanta_sutras,advaita,,,consciousness|reality_appearance|self_identity,reality_appearance|self_identity,,consciousness,True,False,partial,0.37360477,positive,0.73358954,partial,0.76456234
advaita_sankara_thibaut_1890_vedanta_sutras:chunk:957ab3b79d859c4cf5d398a9,advaita_sankara_thibaut_1890_vedanta_sutras,advaita,,,consciousness|self_identity,self_identity,,consciousness,False,False,partial,0.36651869,positive,0.75126893,negative,0.72053316
advaita_sankara_thibaut_1890_vedanta_sutras:chunk:97f27fa5446717982dd385ad,advaita_sankara_thibaut_1890_vedanta_sutras,advaita,,,consciousness|reality_appearance|self_identity,reality_appearance|self_identity,,consciousness,True,False,partial,0.36913172,positive,0.75415369,positive,0.77638077
advaita_sankara_thibaut_1890_vedanta_sutras:chunk:99e52d97a763fd03fdb7cfb4,advaita_sankara_thibaut_1890_vedanta_sutras,advaita,,,consciousness|reality_appearance|self_identity,self_identity|reality_appearance,,consciousness,True,False,partial,0.37437065,positive,0.76842829,partial,0.75494666
advaita_sankara_thibaut_1890_vedanta_sutras:chunk:9c3af542370619cdcf7a1137,advaita_sankara_thibaut_1890_vedanta_sutras,advaita,,,consciousness|self_identity,self_identity,,consciousness,False,False,partial,0.36956183,positive,0.72706967,negative,0.72029028
advaita_sankara_thibaut_1890_vedanta_sutras:chunk:a8202d97ba7440147e390c49,advaita_sankara_thibaut_1890_vedanta_sutras,advaita,,,consciousness|reality_appearance|self_identity,self_identity,,consciousness|reality_appearance,False,False,partial,0.36611521,positive,0.77424491,partial,0.74234474
advaita_sankara_thibaut_1890_vedanta_sutras:chunk:aae2020cf8d774daff0a8c83,advaita_sankara_thibaut_1890_vedanta_sutras,advaita,,,consciousness|reality_appearance,reality_appearance|self_identity,self_identity,consciousness,True,False,partial,0.36537000,negative,0.72059618,positive,0.80730330
advaita_sankara_thibaut_1890_vedanta_sutras:chunk:af2705a61405960f7b3149da,advaita_sankara_thibaut_1890_vedanta_sutras,advaita,,,consciousness|reality_appearance|self_identity,self_identity,,consciousness|reality_appearance,False,False,partial,0.36703530,positive,0.74322187,partial,0.74936917
advaita_sankara_thibaut_1890_vedanta_sutras:chunk:af6eefc64eb1a1c112bd6b58,advaita_sankara_thibaut_1890_vedanta_sutras,advaita,,,consciousness|reality_appearance|self_identity,reality_appearance|self_identity,,consciousness,True,False,positive,0.37237077,positive,0.73731828,positive,0.79866231
advaita_sankara_thibaut_1890_vedanta_sutras:chunk:c1587c87b2fef9725b0b50ea,advaita_sankara_thibaut_1890_vedanta_sutras,advaita,,,consciousness|reality_appearance|self_identity,reality_appearance|self_identity,,consciousness,True,False,partial,0.37054782,positive,0.72260442,positive,0.75579198
advaita_sankara_thibaut_1890_vedanta_sutras:chunk:c91db020177a417005d55e02,advaita_sankara_thibaut_1890_vedanta_sutras,advaita,,,reality_appearance|self_identity,self_identity,,reality_appearance,False,False,negative,0.36626899,positive,0.74968950,partial,0.72705106
advaita_sankara_thibaut_1890_vedanta_sutras:chunk:dd9f55fdd8ac73667eea6cb3,advaita_sankara_thibaut_1890_vedanta_sutras,advaita,,,consciousness|reality_appearance|self_identity,reality_appearance|self_identity,,consciousness,True,False,partial,0.36583181,positive,0.71903125,positive,0.78943838
advaita_sankara_thibaut_1890_vedanta_sutras:chunk:e37bf036cb961f6890f40391,advaita_sankara_thibaut_1890_vedanta_sutras,advaita,,,consciousness|reality_appearance|self_identity,reality_appearance|self_identity,,consciousness,True,False,partial,0.36877125,positive,0.74549727,partial,0.75279201
advaita_sankara_thibaut_1890_vedanta_sutras:chunk:eb039473b0cc1e46a3e0c848,advaita_sankara_thibaut_1890_vedanta_sutras,advaita,,,reality_appearance|self_identity,self_identity,,reality_appearance,False,False,negative,0.36306166,positive,0.76483416,positive,0.74541490
advaita_sankara_thibaut_1890_vedanta_sutras:chunk:ffc7392e26fe70b7c4806a68,advaita_sankara_thibaut_1890_vedanta_sutras,advaita,,,consciousness|reality_appearance|self_identity,reality_appearance|self_identity,,consciousness,True,False,partial,0.36397907,positive,0.74713782,positive,0.79567086
samkhya_dasgupta_1922_history_volume1_samkhya:chunk:0b504f88e2eb1d9571c47c58,samkhya_dasgupta_1922_history_volume1_samkhya,samkhya,,,consciousness|reality_appearance,reality_appearance|self_identity|consciousness,self_identity,,False,False,positive,0.43260041,negative,0.70052798,positive,0.80955262
samkhya_dasgupta_1922_history_volume1_samkhya:chunk:0dce7a22412f3580ade55a82,samkhya_dasgupta_1922_history_volume1_samkhya,samkhya,consciousness_vs_cognition,consciousness,reality_appearance|self_identity,reality_appearance|self_identity,,,True,False,negative,0.36789210,partial,0.72603168,partial,0.75233610
samkhya_dasgupta_1922_history_volume1_samkhya:chunk:0ff3d76b7c5f4d766a94167f,samkhya_dasgupta_1922_history_volume1_samkhya,samkhya,advaita_atman_vs_samkhya_purusha,self_identity,reality_appearance,reality_appearance|self_identity,self_identity,,True,False,negative,0.38593461,negative,0.74930980,positive,0.79822509
samkhya_dasgupta_1922_history_volume1_samkhya:chunk:25168446e86383025152619c,samkhya_dasgupta_1922_history_volume1_samkhya,samkhya,,,consciousness|reality_appearance,reality_appearance,,consciousness,False,False,partial,0.39818451,negative,0.69479385,positive,0.80263605
samkhya_dasgupta_1922_history_volume1_samkhya:chunk:25b41608c14ec68a44325285,samkhya_dasgupta_1922_history_volume1_samkhya,samkhya,reality_appearance_vs_cosmology,reality_appearance,,self_identity,self_identity,,False,False,negative,0.36205932,negative,0.70758655,negative,0.71972630
samkhya_dasgupta_1922_history_volume1_samkhya:chunk:263a16d54f34c126e775413c,samkhya_dasgupta_1922_history_volume1_samkhya,samkhya,,,consciousness|self_identity,reality_appearance|self_identity,reality_appearance,consciousness,True,False,partial,0.35829279,positive,0.76127643,negative,0.76494765
samkhya_dasgupta_1922_history_volume1_samkhya:chunk:3121f5fec99e89517759853d,samkhya_dasgupta_1922_history_volume1_samkhya,samkhya,advaita_atman_vs_samkhya_purusha,self_identity,consciousness|reality_appearance,reality_appearance|self_identity,self_identity,consciousness,True,False,partial,0.36862387,negative,0.71849336,positive,0.81017644
samkhya_dasgupta_1922_history_volume1_samkhya:chunk:31e16366b8fcad51bd9ed9c2,samkhya_dasgupta_1922_history_volume1_samkhya,samkhya,,,reality_appearance,reality_appearance|self_identity,self_identity,,True,False,negative,0.36264128,negative,0.71846197,positive,0.80726102
samkhya_dasgupta_1922_history_volume1_samkhya:chunk:382d9b5a0bff893adb68c417,samkhya_dasgupta_1922_history_volume1_samkhya,samkhya,reality_appearance_vs_cosmology,reality_appearance,,reality_appearance|self_identity,reality_appearance|self_identity,,True,False,negative,0.36763317,negative,0.71550959,negative,0.76075815
samkhya_dasgupta_1922_history_volume1_samkhya:chunk:426f1915b5a0cb6984dfbc27,samkhya_dasgupta_1922_history_volume1_samkhya,samkhya,,,consciousness|reality_appearance,reality_appearance|self_identity,self_identity,consciousness,False,False,positive,0.36822289,negative,0.70354173,positive,0.80449406
samkhya_dasgupta_1922_history_volume1_samkhya:chunk:4350792a01f98a328f637848,samkhya_dasgupta_1922_history_volume1_samkhya,samkhya,,,reality_appearance,reality_appearance|self_identity,self_identity,,True,False,negative,0.36864181,negative,0.74225204,positive,0.80774602
samkhya_dasgupta_1922_history_volume1_samkhya:chunk:46007f1a6fd1f693875cef23,samkhya_dasgupta_1922_history_volume1_samkhya,samkhya,,,consciousness|reality_appearance|self_identity,reality_appearance|self_identity,,consciousness,True,False,positive,0.39720342,positive,0.73063789,partial,0.76480803
samkhya_dasgupta_1922_history_volume1_samkhya:chunk:47e027943d3d1cc66b2abb31,samkhya_dasgupta_1922_history_volume1_samkhya,samkhya,,,consciousness|reality_appearance|self_identity,self_identity|consciousness,,reality_appearance,False,False,positive,0.40266050,positive,0.76782055,partial,0.74278904
samkhya_dasgupta_1922_history_volume1_samkhya:chunk:4a4849ba116efdc00971d7fa,samkhya_dasgupta_1922_history_volume1_samkhya,samkhya,,,consciousness|reality_appearance,reality_appearance|self_identity,self_identity,consciousness,True,False,partial,0.38051699,negative,0.72173396,positive,0.77600700
samkhya_dasgupta_1922_history_volume1_samkhya:chunk:5ae0399c6e5668e7f4582153,samkhya_dasgupta_1922_history_volume1_samkhya,samkhya,advaita_atman_vs_samkhya_purusha,self_identity,reality_appearance,reality_appearance|self_identity,self_identity,,True,False,negative,0.36279565,negative,0.74029125,positive,0.78107514
samkhya_dasgupta_1922_history_volume1_samkhya:chunk:5e225c68fad1d2c4fe49aefa,samkhya_dasgupta_1922_history_volume1_samkhya,samkhya,,,consciousness|reality_appearance,reality_appearance|self_identity,self_identity,consciousness,False,False,positive,0.37872776,negative,0.70017099,positive,0.80440829
samkhya_dasgupta_1922_history_volume1_samkhya:chunk:639acb9ff7ab043c58d77038,samkhya_dasgupta_1922_history_volume1_samkhya,samkhya,,,consciousness|reality_appearance|self_identity,self_identity,,consciousness|reality_appearance,False,False,partial,0.38844857,positive,0.74777075,partial,0.73256441
samkhya_dasgupta_1922_history_volume1_samkhya:chunk:6f1ce2ad107bac357d793c53,samkhya_dasgupta_1922_history_volume1_samkhya,samkhya,reality_appearance_vs_cosmology,reality_appearance,consciousness,,,consciousness,False,True,partial,0.37892043,negative,0.69856626,negative,0.72088041
samkhya_dasgupta_1922_history_volume1_samkhya:chunk:aa0d691b6408aeab07bd8836,samkhya_dasgupta_1922_history_volume1_samkhya,samkhya,reality_appearance_vs_cosmology,reality_appearance,self_identity,self_identity,,,False,False,negative,0.35879624,partial,0.73815781,negative,0.71913511
samkhya_dasgupta_1922_history_volume1_samkhya:chunk:c6abc430d7f96d6e22ad3581,samkhya_dasgupta_1922_history_volume1_samkhya,samkhya,advaita_atman_vs_samkhya_purusha,consciousness|self_identity,reality_appearance,reality_appearance|self_identity,self_identity,,True,False,negative,0.36259844,negative,0.75373954,partial,0.76015712
samkhya_dasgupta_1922_history_volume1_samkhya:chunk:e7c35603eae0de3ac85d0c56,samkhya_dasgupta_1922_history_volume1_samkhya,samkhya,reality_appearance_vs_cosmology,reality_appearance,consciousness,self_identity|consciousness,self_identity,,False,False,partial,0.42936531,negative,0.73451776,negative,0.74164855
samkhya_dasgupta_1922_history_volume1_samkhya:chunk:e89936d4ae973ee1a2181e40,samkhya_dasgupta_1922_history_volume1_samkhya,samkhya,advaita_atman_vs_samkhya_purusha,self_identity,consciousness|reality_appearance,reality_appearance|self_identity,self_identity,consciousness,True,False,partial,0.38180837,negative,0.72235109,positive,0.80971317
samkhya_dasgupta_1922_history_volume1_samkhya:chunk:edd1b62e72f47eabff7474cf,samkhya_dasgupta_1922_history_volume1_samkhya,samkhya,advaita_atman_vs_samkhya_purusha,consciousness|self_identity,reality_appearance,reality_appearance|self_identity,self_identity,,True,False,negative,0.38404670,negative,0.74919946,positive,0.77326829
samkhya_dasgupta_1922_history_volume1_samkhya:chunk:efda48f8eeaa47d9d1830acb,samkhya_dasgupta_1922_history_volume1_samkhya,samkhya,advaita_atman_vs_samkhya_purusha,self_identity,consciousness|reality_appearance,reality_appearance|self_identity|consciousness,self_identity,,True,False,partial,0.40939185,negative,0.72984645,positive,0.81133039
samkhya_vachaspati_jha_1896_tattva_kaumudi:chunk:af793e7a7ff8be0d88c5381a,samkhya_vachaspati_jha_1896_tattva_kaumudi,samkhya,reality_appearance_vs_cosmology,reality_appearance,self_identity,self_identity,,,False,False,negative,0.35464672,positive,0.75000417,negative,0.71632968
